"","id","enrollment_data_score","retention_data_score","price_data_score","ratio_data_score","enrollment_trend","price_trend","retention_trend","ratio_trend","total"
"1158",243823,0,0,1,1,0,2,0,2,4
"1159",243832,1,1,0,1,NA,NA,NA,NA,NA
"1160",245652,1,0,0,1,NA,NA,NA,NA,NA
"1161",245777,0,0,0,1,NA,NA,NA,NA,NA
"1162",245883,0,1,1,1,NA,NA,NA,NA,NA
"1163",245953,1,1,0,1,2,0,0,1,3
"1164",246789,0,0,0,0,NA,NA,NA,NA,NA
"1165",247649,0,1,1,0,2,0,0,0,2
"1166",247773,0,0,1,1,NA,NA,NA,NA,NA
"1167",260293,1,1,1,1,NA,NA,NA,NA,NA
"1168",260947,1,1,1,1,NA,NA,NA,NA,NA
"1169",262086,1,0,1,1,2,2,2,1,7
"1170",363712,1,1,1,1,NA,NA,NA,NA,NA
"1171",363907,1,0,0,1,2,0,0,2,4
"1172",363916,1,0,0,1,2,0,0,2,4
"1173",366003,0,0,1,1,NA,NA,NA,NA,NA
"1174",366535,1,1,0,1,NA,NA,NA,NA,NA
"1175",367884,1,1,0,0,2,0,2,1,5
"1176",372958,1,1,0,1,NA,NA,NA,NA,NA
"1177",375230,0,0,1,1,NA,NA,NA,NA,NA
"1178",376385,1,1,0,1,NA,NA,NA,NA,NA
"1179",377111,1,1,1,1,NA,NA,NA,NA,NA
"1180",384254,0,0,0,1,NA,NA,NA,NA,NA
"1181",384421,0,0,1,1,NA,NA,NA,NA,NA
"1182",385619,1,1,0,1,NA,NA,NA,NA,NA
"1183",386472,1,1,0,1,NA,NA,NA,NA,NA
"1184",388520,0,1,1,0,0,2,2,1,5
"1185",390701,1,1,1,1,NA,NA,NA,NA,NA
"1186",392840,1,1,0,0,2,0,0,0,2
"1187",399911,0,0,1,0,0,2,0,0,2
"1188",401223,1,0,1,1,NA,NA,NA,NA,NA
"1189",405058,0,0,1,1,NA,NA,NA,NA,NA
"1190",405854,0,1,1,1,NA,NA,NA,NA,NA
"1191",412599,1,1,0,1,NA,NA,NA,NA,NA
"1192",413617,1,1,1,0,2,2,2,0,6
"1193",414823,1,0,0,1,NA,NA,NA,NA,NA
"1194",414878,1,1,0,1,NA,NA,NA,NA,NA
"1195",417734,1,0,0,1,NA,NA,NA,NA,NA
"1196",417752,0,1,1,0,0,0,0,0,0
"1197",420325,1,1,0,1,NA,NA,NA,NA,NA
"1198",426314,0,1,0,1,NA,NA,NA,NA,NA
"1199",430670,1,1,1,1,NA,NA,NA,NA,NA
"1200",430810,1,0,0,1,2,0,0,1,3
"1201",431983,1,0,0,1,NA,NA,NA,NA,NA
"1202",433387,0,0,1,1,NA,NA,NA,NA,NA
"1203",433536,1,1,0,1,NA,NA,NA,NA,NA
"1204",434900,1,1,1,1,NA,NA,NA,NA,NA
"1205",434937,1,1,0,1,NA,NA,NA,NA,NA
"1206",436614,1,1,1,1,NA,NA,NA,NA,NA
"1207",437732,1,1,0,1,NA,NA,NA,NA,NA
"1208",438151,1,1,0,1,NA,NA,NA,NA,NA
"1209",439288,1,0,1,1,NA,NA,NA,NA,NA
"1210",439613,1,1,1,1,NA,NA,NA,NA,NA
"1211",439701,0,1,1,0,2,0,0,1,3
"1212",439862,1,1,1,1,NA,NA,NA,NA,NA
"1213",440396,0,0,1,1,NA,NA,NA,NA,NA
"1214",440651,1,1,1,1,NA,NA,NA,NA,NA
